iteration,temperature,learning_rate,dropout,n_layers,candidate_cost,accepted,current_cost,best_cost
0,0.1,0.0001,0.2,8,0.744375,True,0.744375,0.744375
1,0.1,0.0001,0.2,6,0.744375,True,0.744375,0.744375
2,0.07356422544596414,0.0001,0.14897837076069526,6,0.744375,True,0.744375,0.744375
3,0.054116952654646375,0.00015150492311343672,0.14897837076069526,6,0.744375,True,0.744375,0.744375
4,0.039810717055349734,0.0002099462456031961,0.14897837076069526,6,0.744375,True,0.744375,0.744375
5,0.029286445646252372,0.0001738264557360521,0.14897837076069526,6,0.744375,True,0.744375,0.744375
6,0.021544346900318843,0.00023325208800299094,0.14897837076069526,6,0.744375,True,0.744375,0.744375
7,0.01584893192461114,0.00023325208800299094,0.14897837076069526,8,0.744375,True,0.744375,0.744375
8,0.011659144011798322,0.00023325208800299094,0.166831507535877,8,0.744375,True,0.744375,0.744375
9,0.008576958985908946,0.00038211614816410094,0.166831507535877,8,0.744375,True,0.744375,0.744375
10,0.006309573444801936,0.00038211614816410094,0.13488161083947536,8,0.744375,True,0.744375,0.744375
11,0.004641588833612782,0.00038211614816410094,0.0553236661434451,8,0.744375,True,0.744375,0.744375
12,0.0034145488738336043,0.00038211614816410094,0.12482253941293707,8,0.744375,True,0.744375,0.744375
13,0.002511886431509582,0.000609321523368574,0.12482253941293707,8,0.744375,True,0.744375,0.744375
14,0.0018478497974222924,0.000609321523368574,0.040582579028628704,8,0.744375,True,0.744375,0.744375
15,0.0013593563908785267,0.000609321523368574,0.040582579028628704,10,0.744375,True,0.744375,0.744375
