iteration,temperature,learning_rate,dropout,n_layers,candidate_cost,candidate_accuracy,accepted,current_cost,best_cost
0,0.1,0.0001,0.2,8,1.4264440965652465,0.2625,True,1.4264440965652465,1.4264440965652465
1,0.1,0.0001,0.2,6,1.2085674691200257,0.49125,True,1.2085674691200257,1.2085674691200257
2,0.07356422544596414,0.00016123257496397495,0.2,6,1.4410007166862489,0.25625,False,1.2085674691200257,1.2085674691200257
3,0.054116952654646375,0.00016047068212460185,0.2,6,1.4423849153518677,0.25625,False,1.2085674691200257,1.2085674691200257
4,0.039810717055349734,0.0001,0.2,4,1.0471576869487762,0.565625,True,1.0471576869487762,1.0471576869487762
5,0.029286445646252372,0.0001,0.2,5,1.1386384081840515,0.550625,True,1.1386384081840515,1.0471576869487762
6,0.021544346900318843,8.279569622054051e-05,0.2,5,1.143569530248642,0.50875,True,1.143569530248642,1.0471576869487762
7,0.01584893192461114,0.00011110086171478556,0.2,5,1.0733699595928192,0.54625,True,1.0733699595928192,1.0471576869487762
8,0.011659144011798322,0.00011110086171478556,0.2,7,1.4238284778594972,0.25625,False,1.0733699595928192,1.0471576869487762
9,0.008576958985908946,0.00011110086171478556,0.21785313677518175,5,1.3144609928131104,0.4575,False,1.0733699595928192,1.0471576869487762
10,0.006309573444801936,0.00018200665940285997,0.2,5,1.4151716923713684,0.32,False,1.0733699595928192,1.0471576869487762
11,0.004641588833612782,0.00011110086171478556,0.16805010330359837,5,1.000978537797928,0.6,True,1.000978537797928,1.000978537797928
12,0.0034145488738336043,9.143274762120098e-05,0.16805010330359837,5,1.02881733417511,0.590625,False,1.000978537797928,1.000978537797928
13,0.002511886431509582,7.100664553739125e-05,0.16805010330359837,5,0.9929473423957824,0.62,True,0.9929473423957824,0.9929473423957824
14,0.0018478497974222924,7.373820520665209e-05,0.16805010330359837,5,0.9803073394298554,0.604375,True,0.9803073394298554,0.9803073394298554
15,0.0013593563908785267,7.373820520665209e-05,0.1887953095769766,5,1.1124019467830657,0.5375,False,0.9803073394298554,0.9803073394298554
